ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
4,40,1640,-0.014453317741922251,2688,-0.014874624494280729,1640,-0.014869774193539092,2688,-0.014875437589075616
4,34,1400,-0.014448159396249664,2292,-0.014873492016161907,1400,-0.014866890600835639,2292,-0.014874315706856878
4,29,1200,-0.01444131724402656,1962,-0.014872075913399707,1200,-0.01486310859069121,1962,-0.014872911596281985
4,24,1000,-0.014429981914623942,1632,-0.01486987681005724,1000,-0.014856912352229421,1632,-0.014870728206312026
4,21,880,-0.014419151475585614,1434,-0.014867888084685962,880,-0.014851040358534885,1434,-0.014868750620453331
4,18,760,-0.014402708503514768,1236,-0.014864995850271292,760,-0.014842169457430504,1236,-0.014865869629173323
4,15,640,-0.014375897384543765,1038,-0.014860453231588465,640,-0.014827732436562989,1038,-0.01486133430208613
4,13,560,-0.014347301813952575,906,-0.014855706579867116,560,-0.014812294624207406,906,-0.014856584609523826
4,11,480,-0.014302562062233844,774,-0.014848321083183487,480,-0.014787966652600869,774,-0.014849179612286276
4,9,400,-0.014226983818724804,642,-0.01483577462027427,400,-0.014746276605132261,642,-0.014836577205288052
4,8,360,-0.014168219053363471,576,-0.014825937056262978,360,-0.014713324080169296,576,-0.014826686518649412
4,7,320,-0.01408556928815484,510,-0.014812018939874013,320,-0.014666182136197031,510,-0.014812688859840035
4,6,280,-0.013965039722033244,444,-0.014791638734922367,280,-0.014595749109584529,444,-0.014792194789548458
4,5,240,-0.013781781566153594,378,-0.014760590242061392,240,-0.014484650430075626,378,-0.01476097892841666
4,4,200,-0.01349012485540898,312,-0.01471103519088666,200,-0.014296801497947344,312,-0.0147112979250434
4,3,160,-0.013007245552125601,246,-0.014628210504834408,160,-0.013950206230810837,246,-0.014628005099964559
4,2,120,-0.012225806384349008,180,-0.014501101637746379,120,-0.013260424120032073,180,-0.014504051126251269
3,40,1312,-0.014202525510529971,2118,-0.014882878408900112,1312,-0.01487879809662154,2118,-0.014884306098351577
3,34,1120,-0.014198109322658796,1806,-0.01488180847128729,1120,-0.01487599562020613,1806,-0.014883251951771537
3,29,960,-0.014192225755712632,1546,-0.014880437338646732,960,-0.014872283964440835,1546,-0.014881900163193022
3,24,800,-0.014182442192676196,1286,-0.014878257916865758,800,-0.014866150492363861,1286,-0.01487974934618643
3,21,704,-0.014173074139038913,1130,-0.014876256325493874,704,-0.014860307334105795,1130,-0.014877771653956746
3,18,608,-0.014158840451592958,974,-0.014873326457417183,608,-0.01485146227625595,974,-0.014874872658796588
3,15,512,-0.014135641983590264,818,-0.014868740058920528,512,-0.014837084091684832,818,-0.014870325059362302
3,13,448,-0.014110932195776632,714,-0.01486401126612894,448,-0.014821771463193991,714,-0.014865624951736624
3,11,384,-0.014072325474412778,610,-0.014856795864451336,384,-0.014797776454376637,610,-0.014858434104688513
3,9,320,-0.014007126369975519,506,-0.014844814906521992,320,-0.01475691329610849,506,-0.014846454119373112
3,8,288,-0.013956339328632746,454,-0.01483553874472527,288,-0.01472471440048674,454,-0.014837154469657768
3,7,256,-0.013884661559717916,402,-0.01482245198445081,256,-0.014678659586664792,402,-0.014824011457053114
