ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
9,6,560,-0.014186780371954782,914,-0.014873050579871325,560,-0.014581551913551956,914,-0.014866909357337295
9,5,480,-0.013973028776224571,778,-0.01482453382038266,480,-0.014466759649711431,778,-0.014818294256973388
9,4,400,-0.013640126069452037,642,-0.014758039503041595,400,-0.014276055654260633,642,-0.01475164269458975
9,3,320,-0.013102888418538568,506,-0.014659896607302308,320,-0.013928273108258681,506,-0.014656776203209222
9,2,240,-0.012259731448138992,370,-0.014520700931529294,240,-0.013240070187810446,370,-0.01451733360980506
7,40,2624,-0.014803766033966324,4398,-0.015341968170781126,2624,-0.014959878359466274,4398,-0.015515754027101238
7,34,2240,-0.014787954443721267,3750,-0.015324362123604428,2240,-0.014946955199154191,3750,-0.015482098806252793
7,29,1920,-0.014769253660085805,3210,-0.015301645231209809,1920,-0.014931946667004346,3210,-0.01544139894496643
7,24,1600,-0.014743124335349293,2670,-0.015268950932616926,1600,-0.014912010475774819,2670,-0.015385246232177113
7,21,1408,-0.014721908844565158,2346,-0.015243080340636131,1408,-0.014896896343030756,2346,-0.01534212273322788
7,18,1216,-0.014693714154172845,2022,-0.015211075260820738,1216,-0.01487823038436892,2022,-0.015290245172986012
7,15,1024,-0.014653114450583062,1698,-0.015170869263938945,1024,-0.014853530813592048,1698,-0.015227749422657153
7,13,896,-0.014613376679692569,1482,-0.015137726212277915,896,-0.014830918193445463,1482,-0.015178904713105587
7,11,768,-0.014554695485941835,1266,-0.015097283507847248,768,-0.01479897976157291,1266,-0.01512290394251254
7,9,640,-0.014460246076972202,1050,-0.01504607105649087,640,-0.014749057875436525,1050,-0.015057479098561224
7,8,576,-0.014389023463958978,942,-0.015014570888146332,576,-0.01471174724123948,942,-0.01501986745434254
7,7,512,-0.014290840370138596,834,-0.014977436409501565,512,-0.014660154530748676,834,-0.014977608015623579
7,6,448,-0.014150409966590125,726,-0.014932440734578433,448,-0.014585319630202289,726,-0.014928559801926483
7,5,384,-0.013940952374289628,618,-0.01487573184660475,384,-0.01447011903513532,618,-0.014869557991740539
7,4,320,-0.013614182998471351,510,-0.014800111239094908,320,-0.014278875509793213,510,-0.014791894818328275
7,3,256,-0.013085251509615176,402,-0.01469186814104788,256,-0.01393025492503482,402,-0.014687451866481745
7,2,192,-0.012251455150344778,294,-0.014541627704293786,192,-0.013240711510385585,294,-0.01453441276632338
5,40,1968,-0.014771190292086744,3258,-0.015610347138004453,1968,-0.015054152347218498,3258,-0.015890877524043393
5,34,1680,-0.014756961259484074,2778,-0.015603732692754538,1680,-0.01504369288097083,2778,-0.015871900592910052
5,29,1440,-0.01473559068388875,2378,-0.015585706741640528,1440,-0.015026512950705083,2378,-0.01583741247495441
5,24,1200,-0.01470133980370455,1978,-0.015549676989180384,1200,-0.01499829538373706,1978,-0.015776584698030255
5,21,1056,-0.014672126403359248,1738,-0.015515984092979086,1056,-0.014974480926409173,1738,-0.01572255682226403
5,18,912,-0.014633752207770308,1498,-0.015470550506738,912,-0.014944201927160795,1498,-0.015651473040214213
5,15,768,-0.014581731858757671,1258,-0.015410613825718013,768,-0.01490556564398519,1258,-0.015559299638930336
5,13,672,-0.014534701720167407,1098,-0.015360688924018363,672,-0.014873080277713112,1098,-0.015483597895910153
5,11,576,-0.014470200895767607,938,-0.015300530172494014,576,-0.014831583470465969,938,-0.0153941395346379
5,9,480,-0.014373014957583124,778,-0.015226376910873442,480,-0.014773179858666205,778,-0.015288071037594459
5,8,432,-0.014302307730032843,698,-0.015181909312507196,432,-0.014732224397296989,698,-0.015227452771499188
5,7,384,-0.014206472736953446,618,-0.015130507682302946,384,-0.014677425465990998,618,-0.015160543956378265
5,6,336,-0.014070879542509532,538,-0.015069616842430788,336,-0.01459978890549671,538,-0.015085446787694459
5,5,288,-0.013869693796050504,458,-0.014995006042859277,288,-0.014482079153083367,458,-0.014999548338660258
5,4,240,-0.013555855521251391,378,-0.01489909924301585,240,-0.014288382680221992,378,-0.014893456776827936
5,3,192,-0.013045303921768383,298,-0.014767820051294622,192,-0.01393687498619222,298,-0.014763842376523246
5,2,144,-0.012232623298229287,218,-0.014591576756010824,144,-0.01324325235003903,218,-0.014576497549403076
4,40,1640,-0.014732883968477654,2688,-0.01584104480013429,1640,-0.015148340185179682,2688,-0.016194507675860757
4,34,1400,-0.014727365923761757,2292,-0.01585420116584826,1400,-0.01514764950204889,2292,-0.01620261521369663
4,29,1200,-0.01471118451856403,1962,-0.015852452856939526,1200,-0.015136729206806743,1962,-0.016190880554346445
4,24,1000,-0.01467731002273829,1632,-0.01582817022304799,1000,-0.01510976421863008,1632,-0.016147449087383383
4,21,880,-0.01464435404772859,1434,-0.015796195918433967,880,-0.015082283426829294,1434,-0.016097270603263974
4,18,760,-0.014598176302089932,1236,-0.015745601345964356,760,-0.01504352386499833,1236,-0.01602136494296982
4,15,640,-0.01453395481281333,1038,-0.01567099884779763,640,-0.014990718755582541,1038,-0.015911977343666804
