ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
11,13,1344,-0.014684018182652194,2250,-0.014990077877644944,1344,-0.014822965174080539,2250,-0.014992094233506831
11,11,1152,-0.014624744084096877,1922,-0.014962380672094919,1152,-0.01479290169351018,1922,-0.014960677241364951
11,9,960,-0.014527723791606563,1594,-0.014926669643089379,960,-0.014744219474441192,1594,-0.01492241813526453
11,8,864,-0.014454168126639763,1430,-0.014904270580125344,864,-0.014707350250347728,1430,-0.014899241538349699
11,7,768,-0.014352655455110684,1266,-0.01487731714420967,768,-0.01465613718892741,1266,-0.014871881065584075
11,6,672,-0.014207512557762621,1102,-0.014843702123585767,672,-0.014581683179945569,1102,-0.014838171009537288
11,5,576,-0.013991370510918288,938,-0.014799663293055982,576,-0.014466953325080084,938,-0.014794592314291298
11,4,480,-0.013655167562827064,774,-0.014738055803104902,480,-0.01427640633354078,774,-0.014733317735302506
11,3,384,-0.013113575954660932,610,-0.014645221586635327,384,-0.013928952176438863,610,-0.014643123454990655
11,2,288,-0.012265769749549182,446,-0.01451184647050083,288,-0.013241472706695285,446,-0.014510570668578077
9,40,3280,-0.014826454177645575,5538,-0.015208133954504828,3280,-0.014926254387462378,5538,-0.015319131662265608
9,34,2800,-0.01481346138457137,4722,-0.015190925008634735,2800,-0.014916099536047504,4722,-0.015286808525318293
9,29,2400,-0.01479877857190917,4042,-0.015171325635108255,2400,-0.014905315249742663,4042,-0.015251524288315603
9,24,2000,-0.01477810147899287,3362,-0.015145139102821127,2000,-0.014891396323099665,3362,-0.015206465391779347
9,21,1760,-0.014760553609942802,2954,-0.015125063889987543,1760,-0.01488052947165847,2954,-0.015173580368893436
9,18,1520,-0.014735897641659626,2546,-0.01510037433354036,1520,-0.014866232690263808,2546,-0.0151352812220676
9,15,1280,-0.01469812414048478,2138,-0.01506911263573323,1280,-0.014845564937688243,2138,-0.015090287255986384
9,13,1120,-0.01465948458957049,1866,-0.015043003541917345,1120,-0.01482519797158043,1866,-0.015055536317777549
9,11,960,-0.014600924344681772,1594,-0.015010756081624997,960,-0.014795012574454548,1594,-0.015015638847985546
9,9,800,-0.014505198973701226,1322,-0.014969408912729631,800,-0.014746327625408335,1322,-0.01496822711515539
9,8,720,-0.014432603364997248,1186,-0.014943693460975783,720,-0.014709471268223119,1186,-0.014940254130507149
9,7,640,-0.014332358835323234,1050,-0.014913050583068401,640,-0.01465825923150016,1050,-0.014907978970383358
9,6,560,-0.014188923548176805,914,-0.014875352144775922,560,-0.014583773059320114,914,-0.014869228021713872
9,5,480,-0.013975128833843761,778,-0.014826824533210594,480,-0.014468948023151285,778,-0.014820598887922148
9,4,400,-0.013642176741172567,642,-0.014760318708914902,400,-0.014278196374555931,642,-0.014753932373014918
9,3,320,-0.013104901889348947,506,-0.01466216328438077,320,-0.013930344473154405,506,-0.01465905182800444
9,2,240,-0.012261789877613926,370,-0.014522951566896137,240,-0.013242072239400916,370,-0.014519590107073183
7,40,2624,-0.014806873154389454,4398,-0.015345114421753132,2624,-0.01496297396047309,4398,-0.015518929964506066
7,34,2240,-0.014791032105255583,3750,-0.015327489777710267,2240,-0.014950028274424824,3750,-0.01548526426420313
7,29,1920,-0.014772295515548473,3210,-0.015304747125557999,1920,-0.014934991129014799,3210,-0.015444546887496783
7,24,1600,-0.014746118323174217,2670,-0.015272015951114376,1600,-0.014915015849796211,2670,-0.015388366615782141
7,21,1408,-0.014724867707701247,2346,-0.0152461175379596,1408,-0.014899872876325113,2346,-0.015345220816891346
7,18,1216,-0.014696632572825082,2022,-0.015214080363978845,1216,-0.014881173888880132,2022,-0.015293315642153046
7,15,1024,-0.014655986047880425,1698,-0.015173838037715985,1024,-0.014856436742023452,1698,-0.015230785410130235
7,13,896,-0.014616212205222903,1482,-0.015140668316397455,896,-0.014833795955698273,1482,-0.015181912660523447
7,11,768,-0.014557488869725332,1266,-0.015100196710993217,768,-0.014801825721536403,1266,-0.015125878669091701
7,9,640,-0.014462987056723187,1050,-0.01504895262242563,640,-0.014751865929135312,1050,-0.015060414434907929
7,8,576,-0.014391731923755448,942,-0.015017435364693401,576,-0.014714532420302637,942,-0.015022780544263927
7,7,512,-0.014293509868612336,834,-0.014980282793648126,512,-0.014662912488967669,834,-0.014980497132357554
7,6,448,-0.014153031608946376,726,-0.014935267922287885,448,-0.014588043573687553,726,-0.014931423174657637
7,5,384,-0.013943514539236389,618,-0.01487853871825166,384,-0.014472797850830978,618,-0.014872394440309224
7,4,320,-0.013616673599338954,510,-0.014802896799011133,320,-0.014281490427715277,510,-0.014794702424468082
7,3,256,-0.013087671249782797,402,-0.014694631474518436,256,-0.013932775513022235,402,-0.014690233071688425
7,2,192,-0.012253865514508498,294,-0.014544365639032596,192,-0.01324311710705198,294,-0.014537160978017213
5,40,1968,-0.014775319834675268,3258,-0.01561448974973021,1968,-0.015058260109526,3258,-0.015895030258483506
5,34,1680,-0.01476107701170893,2778,-0.01560787957631756,1680,-0.01504779543541388,2778,-0.015876070187846498
5,29,1440,-0.01473967315430087,2378,-0.015589840250488667,1440,-0.015030592856600359,2378,-0.015841583209780352
5,24,1200,-0.014705359669702473,1978,-0.015553772223541118,1200,-0.015002327171327861,1978,-0.015780736449096153
5,21,1056,-0.014676090499852463,1738,-0.015520040221460012,1056,-0.01497846779729918,1738,-0.015726683649190987
5,18,912,-0.014637644417574931,1498,-0.015474553191475901,912,-0.014948129727902852,1498,-0.015655562283990718
5,15,768,-0.014585534259556936,1258,-0.015414547887536427,768,-0.014909419062489182,1258,-0.015563336373217142
5,13,672,-0.014538433103271856,1098,-0.015364568851487447,672,-0.014876875099427183,1098,-0.015487589560306214
5,11,576,-0.014473850462393556,938,-0.015304349300950527,576,-0.014835311592667556,938,-0.015398075621178396
5,9,480,-0.014376567829920032,778,-0.015230128019351436,480,-0.014776830704280949,778,-0.015291937169155438
5,8,432,-0.014305804104881211,698,-0.015185623234042808,432,-0.01473583083659359,698,-0.015231276843031397
5,7,384,-0.014209904776215726,618,-0.015134181939013005,384,-0.014680981721199395,618,-0.015164320307309192
5,6,336,-0.014074236632334355,538,-0.015073248770626347,336,-0.0146032864988271,538,-0.015089169190456211
5,5,288,-0.01387296172936956,458,-0.014998593130093591,288,-0.014485504778369773,458,-0.0150032114513406
5,4,240,-0.013559017033522656,378,-0.014902639819168579,240,-0.014291713918713271,378,-0.014897054602008082
5,3,192,-0.01304834716938859,298,-0.014771314120856258,192,-0.013940072787757128,298,-0.014767380492643735
5,2,144,-0.012235581606238038,218,-0.014595023729910617,144,-0.01324627285072505,218,-0.01457996653988852
4,40,1640,-0.01473769598759147,2688,-0.01584581596214704,1640,-0.01515313434250585,2688,-0.016199252322062315
4,34,1400,-0.014732200293543142,2292,-0.01585900934246226,1400,-0.015152469684064983,2292,-0.016207408821798622
4,29,1200,-0.014716014796506497,1962,-0.015857278122585014,1200,-0.015141553317973842,1962,-0.016195707525890484
4,24,1000,-0.01468209751304733,1632,-0.015832984346014583,1000,-0.015114560259353918,1632,-0.01615228957259223
4,21,880,-0.014649087203488174,1434,-0.015800980376508247,880,-0.015087038126423709,1434,-0.016102101558291886
4,18,760,-0.014602825928125314,1236,-0.015750331570016797,760,-0.01504821176056272,1236,-0.01602616670274983
4,15,640,-0.014538485333172858,1038,-0.015675644660160356,640,-0.014995308560960749,1038,-0.015916724928315844
4,13,560,-0.014481251268497197,906,-0.015609556110532339,560,-0.014950213609865022,906,-0.015820641010591927
4,11,480,-0.01440608913036197,774,-0.015527910131833127,480,-0.014894290561473556,774,-0.015702237020167615
4,9,400,-0.014299826549211784,642,-0.015427178781536646,400,-0.014820828658048898,642,-0.015557248845327594
4,8,360,-0.014226223518013899,576,-0.015367620697000324,360,-0.01477260943245432,576,-0.015472989463674092
4,7,320,-0.014129434702651825,510,-0.015299910573392802,320,-0.014711011868677022,510,-0.015379494147689835
4,6,280,-0.013995744193846279,444,-0.015221351163705526,280,-0.014627222675424746,444,-0.015275021575825772
4,5,240,-0.013800550047047767,378,-0.015127405693183462,240,-0.014504093594077158,378,-0.015157308449063388
4,4,200,-0.013498313330753348,312,-0.015009999724483447,200,-0.01430560798670763,312,-0.015017187524904831
4,3,160,-0.013006020265357746,246,-0.014854353300773756,160,-0.013949426436881586,246,-0.014856285540659089
