ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
7,13,896,-0.014613376679686495,1482,-0.015137726212266141,896,-0.014830918193452391,1482,-0.015178904713119381
7,11,768,-0.014554695485943417,1266,-0.015097283507821746,768,-0.014798979761592095,1266,-0.015122903942508458
7,9,640,-0.014460246077021162,1050,-0.015046071056473698,640,-0.01474905787552363,1050,-0.015057479098529473
7,8,576,-0.014389023463980652,942,-0.015014570888161044,576,-0.014711747241234625,942,-0.015019867454328779
7,7,512,-0.014290840370110974,834,-0.01497743640954323,512,-0.014660154530741416,834,-0.014977608015666683
7,6,448,-0.014150409966633847,726,-0.014932440734491048,448,-0.014585319630153096,726,-0.0149285598018711
7,5,384,-0.013940952374296618,618,-0.014875731846592095,384,-0.014470119035235046,618,-0.014869557991685163
7,4,320,-0.013614182998445506,510,-0.014800111239185246,320,-0.014278875509879089,510,-0.014791894818425105
7,3,256,-0.013085251509652703,402,-0.014691868141029628,256,-0.013930254925033662,402,-0.0146874518665287
7,2,192,-0.012251455150298962,294,-0.014541627704475778,192,-0.013240711510386352,294,-0.014534412766474112
5,40,1968,-0.014771190292052554,3258,-0.015610347138069712,1968,-0.015054152347249073,3258,-0.015890877524039806
5,34,1680,-0.014756961259548652,2778,-0.01560373269272195,1680,-0.015043692880994,2778,-0.01587190059291237
5,29,1440,-0.01473559068392524,2378,-0.015585706741602805,1440,-0.01502651295074194,2378,-0.01583741247499795
5,24,1200,-0.014701339803724022,1978,-0.015549676989223353,1200,-0.014998295383646578,1978,-0.01577658469802736
5,21,1056,-0.014672126403331747,1738,-0.015515984092955813,1056,-0.014974480926380946,1738,-0.015722556822282904
5,18,912,-0.014633752207748398,1498,-0.015470550506724145,912,-0.014944201927130665,1498,-0.01565147304020906
5,15,768,-0.014581731858785653,1258,-0.015410613825658616,768,-0.014905565644009787,1258,-0.015559299638930036
5,13,672,-0.014534701720177918,1098,-0.015360688924004422,672,-0.014873080277669674,1098,-0.015483597895941838
5,11,576,-0.014470200895806919,938,-0.015300530172484235,576,-0.014831583470447406,938,-0.015394139534651267
5,9,480,-0.014373014957567374,778,-0.01522637691089883,480,-0.014773179858691995,778,-0.015288071037589586
5,8,432,-0.014302307730029577,698,-0.015181909312503029,432,-0.014732224397313956,698,-0.015227452771507522
5,7,384,-0.014206472736979479,618,-0.01513050768231608,384,-0.014677425466033445,618,-0.01516054395637159
5,6,336,-0.014070879542478851,538,-0.01506961684245125,336,-0.014599788905489103,538,-0.015085446787714516
5,5,288,-0.013869693796057252,458,-0.014995006042874003,288,-0.014482079153085185,458,-0.014999548338607324
5,4,240,-0.013555855521291306,378,-0.014899099243021074,240,-0.014288382680261698,378,-0.01489345677681357
5,3,192,-0.013045303921754205,298,-0.014767820051261626,192,-0.013936874986232875,298,-0.014763842376535639
5,2,144,-0.012232623298253066,218,-0.014591576756050136,144,-0.013243252350003069,218,-0.01457649754936789
4,40,1640,-0.014732883968569147,2688,-0.015841044800080376,1640,-0.0151483401851156,2688,-0.016194507675927904
4,34,1400,-0.014727365923776888,2292,-0.015854201165860112,1400,-0.015147649502119203,2292,-0.01620261521367292
4,29,1200,-0.014711184518588818,1962,-0.01585245285703486,1200,-0.015136729206799985,1962,-0.016190880554295125
4,24,1000,-0.014677310022717806,1632,-0.01582817022308694,1000,-0.015109764218534508,1632,-0.016147449087367288
